q,Site1,Site2,DT,Non_lethal,Turnover
1,Sg.M.I.3.16S,Sg.M.H.5.16S,Small intestine,Feces,0.617450661
1,Sg.M.I.4.16S,Sg.M.H.5.16S,Small intestine,Feces,0.980030354
1,Sg.M.I.5.16S,Sg.M.H.5.16S,Small intestine,Feces,0.094197998
1,Sg.M.I.6.16S,Sg.M.H.5.16S,Small intestine,Feces,0.56538958
1,Sg.M.I.7.16S,Sg.M.H.5.16S,Small intestine,Feces,0.674728193
1,Sg.M.I.8.16S,Sg.M.H.5.16S,Small intestine,Feces,0.898102789
1,Sg.M.I.9.16S,Sg.M.H.5.16S,Small intestine,Feces,0.709865459
1,Sg.M.R.1.16S,Sg.M.H.5.16S,Rectum,Feces,0.65475524
1,Sg.M.R.10.16S,Sg.M.H.5.16S,Rectum,Feces,0.509813204
1,Sg.M.R.2.16S,Sg.M.H.5.16S,Rectum,Feces,0.540355778
